"bucket","source","dest","bytes"
"dmppt_report_package","C:\Users\Denys\Documents\Projects\PVplant\reports\PV_DMPPT_Book_Chapter_Map_2026-05-21\action_log.md","C:\Users\Denys\Documents\Projects\PVplant\NotebookLM\Sources\04_pv_dmppt_books\action_log.md","1606"
"dmppt_report_package","C:\Users\Denys\Documents\Projects\PVplant\reports\PV_DMPPT_Book_Chapter_Map_2026-05-21\evidence_index.csv","C:\Users\Denys\Documents\Projects\PVplant\NotebookLM\Sources\04_pv_dmppt_books\evidence_index.csv","8824"
"dmppt_report_package","C:\Users\Denys\Documents\Projects\PVplant\reports\PV_DMPPT_Book_Chapter_Map_2026-05-21\report.md","C:\Users\Denys\Documents\Projects\PVplant\NotebookLM\Sources\04_pv_dmppt_books\report.md","11174"
"dmppt_report_package","C:\Users\Denys\Documents\Projects\PVplant\reports\PV_DMPPT_Book_Chapter_Map_2026-05-21\source_inventory.csv","C:\Users\Denys\Documents\Projects\PVplant\NotebookLM\Sources\04_pv_dmppt_books\source_inventory.csv","4735"
"firecrawl_required","C:\Users\Denys\Documents\Projects\PVplant\.firecrawl\cdn.prod.website-files.com-5fad551d7419c7a0e9e4aba4-68827724d772a21c23ceb55e_002-00216-00%201.1%20Datasheet%20TS4-A-O%20(725W)%2020250709%20-%20EN.pdf.md","C:\Users\Denys\Documents\Projects\PVplant\NotebookLM\Sources\02_firecrawl_scraped_sources\required\cdn.prod.website-files.com-5fad551d7419c7a0e9e4aba4-68827724d772a21c23ceb55e_002-00216-00%201.1%20Datasheet%20TS4-A-O%20(725W)%2020250709%20-%20EN.pdf.md","3575"
"firecrawl_required","C:\Users\Denys\Documents\Projects\PVplant\.firecrawl\cdn.prod.website-files.com-5fad551d7419c7a0e9e4aba4-698b65573e1e53f5d116c80f_002-00129-00%202.3%20IO%26M%20TS4A%20with%20TAP%20and%20CCA%2020251001%20-%20EN.pdf.md","C:\Users\Denys\Documents\Projects\PVplant\NotebookLM\Sources\02_firecrawl_scraped_sources\required\cdn.prod.website-files.com-5fad551d7419c7a0e9e4aba4-698b65573e1e53f5d116c80f_002-00129-00%202.3%20IO%26M%20TS4A%20with%20TAP%20and%20CCA%2020251001%20-%20EN.pdf.md","14999"
"firecrawl_required","C:\Users\Denys\Documents\Projects\PVplant\.firecrawl\enphase.com-download-iq8-and-iq8-microinverters-data-sheet.md","C:\Users\Denys\Documents\Projects\PVplant\NotebookLM\Sources\02_firecrawl_scraped_sources\required\enphase.com-download-iq8-and-iq8-microinverters-data-sheet.md","8258"
"firecrawl_required","C:\Users\Denys\Documents\Projects\PVplant\.firecrawl\enphase.com-download-iq8-series-microinverter-installation-and-operation-manual.md","C:\Users\Denys\Documents\Projects\PVplant\NotebookLM\Sources\02_firecrawl_scraped_sources\required\enphase.com-download-iq8-series-microinverter-installation-and-operation-manual.md","94396"
"firecrawl_required","C:\Users\Denys\Documents\Projects\PVplant\.firecrawl\global.apsystems.com-diy-ez1.md","C:\Users\Denys\Documents\Projects\PVplant\NotebookLM\Sources\02_firecrawl_scraped_sources\required\global.apsystems.com-diy-ez1.md","16650"
"firecrawl_required","C:\Users\Denys\Documents\Projects\PVplant\.firecrawl\global.apsystems.com-ez1-emea-datasheet-2024-12-09.md","C:\Users\Denys\Documents\Projects\PVplant\NotebookLM\Sources\02_firecrawl_scraped_sources\required\global.apsystems.com-ez1-emea-datasheet-2024-12-09.md","3583"
"firecrawl_required","C:\Users\Denys\Documents\Projects\PVplant\.firecrawl\global.apsystems.com-ez1-emea-user-manual-2024-12-09.md","C:\Users\Denys\Documents\Projects\PVplant\NotebookLM\Sources\02_firecrawl_scraped_sources\required\global.apsystems.com-ez1-emea-user-manual-2024-12-09.md","24489"
"firecrawl_required","C:\Users\Denys\Documents\Projects\PVplant\.firecrawl\hoymiles.com-products-hms-300-350-400-450-500-1t.html.md","C:\Users\Denys\Documents\Projects\PVplant\NotebookLM\Sources\02_firecrawl_scraped_sources\required\hoymiles.com-products-hms-300-350-400-450-500-1t.html.md","7671"
